area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,296100.0
5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished,294000.0
4960,2,1,1,yes,no,no,no,no,0,no,unfurnished,294000.0
3600,3,1,2,no,no,no,no,no,1,no,unfurnished,294000.0
3660,4,1,2,no,no,no,no,no,0,no,unfurnished,294000.0
3480,3,1,2,no,no,no,no,no,1,no,semi-furnished,294000.0
2700,2,1,1,no,no,no,no,no,0,no,furnished,294000.0
3150,3,1,2,no,no,no,no,no,0,no,unfurnished,294000.0
3040,2,1,1,no,no,no,no,no,0,no,unfurnished,287000.0
3630,2,1,1,yes,no,no,no,no,0,no,unfurnished,287000.0
6000,2,1,1,yes,no,no,no,no,0,no,semi-furnished,287000.0
5200,4,1,3,yes,no,no,no,no,0,no,unfurnished,285250.0
3300,3,1,2,no,no,no,no,no,1,no,semi-furnished,283500.0
4350,3,1,2,no,no,no,yes,no,1,no,unfurnished,283500.0
2640,2,1,1,no,no,no,no,no,1,no,furnished,283500.0
2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished,280000.0
3960,3,1,1,yes,no,no,no,no,0,no,furnished,280000.0
6800,2,1,1,yes,no,no,no,no,0,no,unfurnished,273000.0
4000,3,1,2,yes,no,no,no,no,1,no,unfurnished,273000.0
4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,269500.0
3934,2,1,1,yes,no,no,no,no,0,no,unfurnished,266000.0
2000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,266000.0
3630,3,3,2,no,yes,no,no,no,0,no,unfurnished,266000.0
2800,3,1,1,yes,no,no,no,no,0,no,unfurnished,266000.0
2430,3,1,1,no,no,no,no,no,0,no,unfurnished,266000.0
3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished,266000.0
4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished,266000.0
3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished,265300.0
2910,2,1,1,no,no,no,no,no,0,no,unfurnished,260400.0
3600,2,1,1,yes,no,no,no,no,0,no,unfurnished,259000.0
4400,2,1,1,yes,no,no,no,no,0,no,unfurnished,259000.0
3600,2,2,2,yes,no,yes,no,no,1,no,furnished,259000.0
2880,3,1,1,no,no,no,no,no,0,no,unfurnished,252000.0
3180,3,1,1,no,no,no,no,no,0,no,unfurnished,252000.0
3000,2,1,2,yes,no,no,no,no,0,no,furnished,252000.0
4400,3,1,2,yes,no,no,no,no,0,no,unfurnished,248500.0
3000,3,1,2,no,no,no,no,no,0,no,semi-furnished,248500.0
3210,3,1,2,yes,no,yes,no,no,0,no,unfurnished,245000.0
3240,2,1,1,no,yes,no,no,no,1,no,unfurnished,245000.0
3000,2,1,1,yes,no,no,no,no,1,no,unfurnished,245000.0
3500,2,1,1,yes,yes,no,no,no,0,no,unfurnished,245000.0
4840,2,1,2,yes,no,no,no,no,0,no,unfurnished,245000.0
3635,2,1,1,no,no,no,no,no,0,no,unfurnished,240800.0
2475,3,1,2,yes,no,no,no,no,0,no,furnished,238000.0
3264,2,1,1,yes,no,no,no,no,0,no,unfurnished,238000.0
3640,2,1,1,yes,no,no,no,no,0,no,unfurnished,234500.0
3180,2,1,1,yes,no,no,no,no,0,no,unfurnished,231000.0
1836,2,1,1,no,no,yes,no,no,0,no,semi-furnished,227500.0
3970,1,1,1,no,no,no,no,no,0,no,unfurnished,227500.0
3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished,227500.0
1950,3,1,1,no,no,no,yes,no,0,no,unfurnished,224000.0
3000,2,1,1,no,no,no,no,no,0,no,unfurnished,213500.0
2400,3,1,2,yes,no,no,no,no,0,no,unfurnished,210000.0
3000,4,1,2,yes,no,no,no,no,0,no,unfurnished,210000.0
3360,2,1,1,yes,no,no,no,no,1,no,unfurnished,210000.0
1700,3,1,2,yes,no,no,no,no,0,no,unfurnished,189000.0
3649,2,1,1,yes,no,no,no,no,0,no,unfurnished,189000.0
2990,2,1,1,no,no,no,no,no,1,no,unfurnished,185500.0
3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished,182000.0
3620,2,1,1,yes,no,no,no,no,0,no,unfurnished,175000.0
